
A T O M   T Y P E S

IDX	TYPE	RING
1	H_	NO
2	C_3	AL
3	C_3	AL
4	C_3	AL
5	C_3	AL
6	C_3	NO
7	C_2	AL
8	C_2	AL
9	C_2	AL
10	C_2	AL
11	C_3	AL
12	C_3	NO
13	C_3	AL
14	C_3	NO
15	C_3	NO
16	C_3	AL
17	C_3	AL
18	C_3	AL
19	O_3	NO
20	C_3	AL
21	C_2	AL
22	O_2	NO
23	O_2	AL
24	O_2	NO
25	C_2	NO
26	O_2	NO
27	C_3	NO
28	C_3	NO
29	C_3	NO
30	C_3	NO
31	C_3	NO
32	H_	NO
33	H_	NO
34	H_	NO
35	H_	NO
36	H_	NO
37	H_	NO
38	H_	NO
39	H_	NO
40	H_	NO
41	H_	NO
42	H_	NO
43	H_	NO
44	H_	NO
45	H_	NO
46	H_	NO
47	H_	NO
48	H_	NO
49	H_	NO
50	H_	NO
51	H_	NO
52	H_	NO
53	H_	NO
54	H_	NO
55	H_	NO
56	H_	NO
57	H_	NO
58	H_	NO
59	H_	NO
60	H_	NO
61	H_	NO
62	H_	NO
63	H_	NO
64	H_	NO
65	H_	NO
66	H_	NO
67	H_	NO
68	H_	NO

S E T T I N G   U P   C A L C U L A T I O N S

SETTING UP BOND CALCULATIONS...
SETTING UP ANGLE CALCULATIONS...
SETTING UP TORSION CALCULATIONS...
SETTING UP OOP CALCULATIONS...
SETTING UP VAN DER WAALS CALCULATIONS...

S T E E P E S T   D E S C E N T

STEPS = 10000

STEP n       E(n)         E(n-1)    
------------------------------------
    0     540.953      ----
   10    454.67589    456.13544
   20    444.97464    445.72427
   30    438.72638    439.27531
   40    433.84539    434.29277
   50    429.75355    430.13581
   60    426.20809    426.54253
   70    423.08219    423.37868
   80    420.29756    420.56263
   90    417.79930    418.03776
  100    415.54526    415.76092
  110    413.50118    413.69719
  120    411.63832    411.81736
  130    409.93219    410.09654
  140    408.36179    408.51341
  150    406.90909    407.04966
  160    405.55864    405.68960
  170    404.29724    404.41982
  180    403.11362    403.22887
  190    401.99824    402.10705
  200    400.94300    401.04611
  210    399.94103    400.03909
  220    398.98655    399.08009
  230    398.07467    398.16414
  240    397.20125    397.28704
  250    396.36281    396.44524
  260    395.55638    395.63572
  270    394.77946    394.85595
  280    394.02990    394.10374
  290    393.30587    393.37723
  300    392.60580    392.67482
  310    391.92831    391.99513
  320    391.27224    391.33696
  330    390.63653    390.69926
  340    390.02026    390.08108
  350    389.42262    389.48161
  360    388.84288    388.90010
  370    388.28035    388.33588
  380    387.73443    387.78833
  390    387.20456    387.25687
  400    386.69021    386.74099
  410    386.19089    386.24019
  420    385.70614    385.75400
  430    385.23552    385.28199
  440    384.77860    384.82372
  450    384.33498    384.37879
  460    383.90428    383.94680
  470    383.48610    383.52739
  480    383.08008    383.12018
  490    382.68587    382.72480
  500    382.30311    382.34091
  510    381.93146    381.96816
  520    381.57057    381.60621
  530    381.22013    381.25474
  540    380.87980    380.91341
  550    380.54928    380.58192
  560    380.22823    380.25994
  570    379.91637    379.94717
  580    379.61338    379.64331
  590    379.31897    379.34806
  600    379.03286    379.06112
  610    378.75475    378.78222
  620    378.48436    378.51108
  630    378.22144    378.24742
  640    377.96570    377.99097
  650    377.71688    377.74148
  660    377.47474    377.49868
  670    377.23901    377.26232
  680    377.00946    377.03216
  690    376.78585    376.80797
  700    376.56794    376.58950
  710    376.35551    376.37653
  720    376.14834    376.16884
  730    375.94620    375.96621
  740    375.74889    375.76842
  750    375.55620    375.57528
  760    375.36793    375.38658
  770    375.18388    375.20212
  780    375.00387    375.02171
  790    374.82770    374.84517
  800    374.65520    374.67230
  810    374.48618    374.50294
  820    374.32046    374.33691
  830    374.15789    374.17403
  840    373.99829    374.01413
  850    373.84149    373.85706
  860    373.68733    373.70265
  870    373.53566    373.55074
  880    373.38631    373.40117
  890    373.23914    373.25378
  900    373.09398    373.10843
  910    372.95068    372.96495
  920    372.80909    372.82320
  930    372.66906    372.68301
  940    372.53042    372.54425
  950    372.39304    372.40674
  960    372.25673    372.27034
  970    372.12137    372.13489
  980    371.98855    372.00118
  990    371.89346    371.90103
 1000    371.81933    371.82669
 1010    371.74616    371.75345
 1020    371.67374    371.68095
 1030    371.60203    371.60918
 1040    371.53102    371.53809
 1050    371.46066    371.46767
 1060    371.39093    371.39788
 1070    371.32182    371.32870
 1080    371.25329    371.26012
 1090    371.18531    371.19209
 1100    371.11788    371.12460
 1110    371.05096    371.05763
 1120    370.98453    370.99115
 1130    370.91856    370.92514
 1140    370.85305    370.85958
 1150    370.78795    370.79445
 1160    370.72326    370.72972
 1170    370.65895    370.66537
 1180    370.59501    370.60139
 1190    370.53140    370.53775
 1200    370.46812    370.47443
 1210    370.40513    370.41142
 1220    370.34243    370.34869
 1230    370.27999    370.28622
 1240    370.21779    370.22400
 1250    370.15581    370.16200
 1260    370.09403    370.10020
 1270    370.03243    370.03859
 1280    369.97100    369.97714
 1290    369.90971    369.91584
 1300    369.84854    369.85466
 1310    369.78747    369.79358
 1320    369.72648    369.73258
 1330    369.66555    369.67165
 1340    369.60466    369.61075
 1350    369.54378    369.54987
 1360    369.48290    369.48899
 1370    369.42198    369.42808
 1380    369.36101    369.36711
 1390    369.29996    369.30607
 1400    369.23880    369.24493
 1410    369.17751    369.18365
 1420    369.11606    369.12222
 1430    369.05442    369.06060
 1440    368.99255    368.99876
 1450    368.93044    368.93667
 1460    368.86803    368.87429
 1470    368.80530    368.81160
 1480    368.74221    368.74854
 1490    368.67872    368.68509
 1500    368.61477    368.62119
 1510    368.55033    368.55681
 1520    368.48535    368.49188
 1530    368.41977    368.42636
 1540    368.35353    368.36019
 1550    368.28656    368.29330
 1560    368.21881    368.22563
 1570    368.15018    368.15709
 1580    368.08133    368.08804
 1590    368.02847    368.03266
 1600    367.98754    367.99161
 1610    367.94677    367.95085
 1620    367.90596    367.91004
 1630    367.86510    367.86919
 1640    367.82417    367.82827
 1650    367.78317    367.78728
 1660    367.74209    367.74621
 1670    367.70092    367.70504
 1680    367.65964    367.66378
 1690    367.61825    367.62239
 1700    367.57672    367.58088
 1710    367.53506    367.53924
 1720    367.49324    367.49743
 1730    367.45125    367.45546
 1740    367.40908    367.41331
 1750    367.36671    367.37096
 1760    367.32412    367.32839
 1770    367.28130    367.28560
 1780    367.23823    367.24255
 1790    367.19488    367.19923
 1800    367.15124    367.15562
 1810    367.10728    367.11170
 1820    367.06299    367.06744
 1830    367.01832    367.02281
 1840    366.97327    366.97780
 1850    366.92779    366.93236
 1860    366.88185    366.88647
